year,maleQuantity,femaleQuantity,maleActual,femaleActual,male2017,female2017
2017,20982,19392,52341,38103,52341,38103
2016,20710,19268,49330,35924,50391,36697
2015,20332,18859,48516,35790,50199,37031
2014,19848,18379,45866,32692,47538,33884
2013,19604,17946,43412,32352,45757,34099
2012,19183,17815,43066,31554,46065,33751
2011,18883,17635,41463,31034,45289,33898
2010,18806,17513,39851,30158,44901,33980
2009,19281,17498,40346,30396,46208,34813
2008,19316,17445,41756,29935,47657,34165
2007,19017,17240,41518,31139,49206,36905
2006,19045,17151,40840,29693,49775,36189
2005,18897,17058,38506,26895,48451,33841
2004,18726,17036,37356,26199,48596,34082
2003,18684,17156,37173,26760,49665,35753
2002,18695,17336,37124,25354,50726,34643
2001,18533,17368,36887,26110,51196,36239
2000,18618,17634,37209,24669,53114,35214
1999,18701,17791,35325,23185,52135,34218
1998,18330,17773,33334,21537,50245,32463
1997,18936,18081,31014,20683,47381,31598
1996,19354,18481,29418,19201,45914,29968
1995,19617,18856,28214,18241,45208,29228
1994,19976,19174,26928,17470,44186,28667
1993,20178,19572,26001,16775,43556,28101
1992,20578,19603,24862,16221,42698,27858
1991,20523,19822,24532,15504,43179,27289
1990,20856,20035,24365,14955,44446,27280
1989,20998,20209,24281,14439,46476,27638
1988,20912,20228,23316,13590,46580,27150
1987,20783,20188,22060,12732,45663,26355
1986,20600,19795,21478,12043,45988,25786
1985,20464,19300,20715,11591,45130,25253
1984,19775,19017,19534,10686,44019,24080
1983,19299,18423,18230,10021,42790,23521
1982,18833,17973,17780,9424,43516,23065
1981,18723,17827,17202,8652,44644,22454
1980,18284,17362,16320,7913,46353,22475
1979,17789,16854,15538,7119,49075,22484
1978,16508,14282,14305,6557,49465,22673
1977,16069,12667,13129,6416,48511,23707
1976,15678,11943,12274,5955,48215,23392
1975,15103,11212,11498,5592,47765,23230
1974,14641,10674,10985,5012,49385,22532
1973,14075,9879,10495,4616,51900,22827
1972,13462,9043,9628,4278,50593,22480
1971,12878,8285,8972,3932,48559,21281
1970,12245,7931,8696,3645,49128,20592
1969,11943,7462,8378,3309,49663,19615
1968,11498,7272,7617,3135,47165,19412
1967,11088,6762,7107,3020,45733,19434
