year,maleQuantity,femaleQuantity,maleActual,femaleActual,male2017,female2017
2017,19007,19745,72225,43447,72225,43447
2016,18740,19711,68228,43373,69695,44306
2015,18858,19476,65658,39464,67935,40833
2014,18505,18996,62671,37786,64956,39164
2013,18121,18357,61511,37884,64833,39930
2012,17515,18097,61410,38198,65686,40858
2011,17408,17867,61162,36860,66806,40262
2010,17315,17628,59259,34096,66768,38417
2009,16252,16694,57847,34848,66252,39912
2008,15896,16138,58952,34052,67283,38864
2007,15522,15601,58800,33392,69687,39575
2006,14905,15073,57219,33289,69737,40572
2005,14369,14635,55863,30893,70291,38872
2004,13600,14078,53954,28226,70189,36719
2003,13097,13424,53883,27908,71990,37286
2002,12750,12926,50136,26967,68505,36847
2001,11982,12377,50810,25602,70521,35534
2000,11394,11748,49310,22940,70387,32746
1999,11113,11537,48278,23035,71252,33997
1998,10678,10968,46257,21369,69723,32210
1997,10361,10607,46319,20626,70762,31511
1996,9966,10220,41079,19029,64114,29699
1995,9863,10014,39177,18433,62774,29535
1994,9641,10011,38139,16004,62583,26261
1993,9635,10005,33682,16465,56423,27582
1992,9561,9925,32742,15061,56232,25866
1991,9845,10205,32761,14722,57663,25912
1990,9974,10354,31899,13834,58189,25235
1989,9818,10315,31858,13201,60980,25268
1988,9955,10397,28730,12346,57396,24665
1987,10023,10502,27852,11456,57652,23713
1986,10128,10448,26809,10905,57402,23349
1985,10131,10603,25335,10478,55196,22828
1984,10195,10702,24350,9954,54871,22431
1983,10080,10653,22765,9033,53434,21202
1982,10096,10543,21919,8661,53646,21197
1981,10102,10558,20875,7670,54176,19906
1980,10014,10407,19090,7199,54221,20447
1979,9910,10235,17927,6364,56620,20100
1978,9658,8758,16334,6237,56481,21567
1977,9689,7875,14895,5957,55037,22011
1976,9369,7659,13722,5552,53903,21809
1975,9219,7508,12556,5075,52160,21083
1974,9091,7328,11786,4768,52986,21435
1973,8960,7119,11024,4472,54516,22115
1972,8836,7014,10320,4125,54229,21676
1971,8732,6811,9385,3914,50794,21184
1970,8572,6715,8902,3756,50291,21219
1969,8452,6501,8405,3594,49823,21304
1968,8341,6225,7828,3301,48472,20440
1967,8197,6046,7004,3052,45070,19639
