year,maleQuantity,femaleQuantity,maleActual,femaleActual,male2017,female2017
2017,13809,13266,20479,15795,20479,15795
2016,13789,13465,19839,15426,20266,15758
2015,13956,13434,17396,14769,17999,15281
2014,13619,13407,17788,13648,18437,14146
2013,13454,13041,17261,13972,18193,14727
2012,13271,13127,15577,13377,16662,14308
2011,13086,12927,14973,12598,16355,13761
2010,12950,12541,14829,12299,16708,13857
2009,13280,12804,14862,12332,17022,14124
2008,13775,13260,15522,12966,17716,14798
2007,14142,13155,15237,12698,18058,15049
2006,14093,13267,15213,12290,18541,14979
2005,14182,13484,14857,11521,18694,14497
2004,14202,13590,14387,11179,18716,14543
2003,14237,13594,13243,10775,17693,14396
2002,14120,13584,13504,11071,18452,15127
2001,14484,13865,13268,11655,18415,16176
2000,14645,14085,13149,10569,18769,15087
1999,14268,13806,11674,9621,17229,14199
1998,14079,13875,12343,9271,18605,13974
1997,13905,13626,11201,8987,17112,13730
1996,14016,13502,9962,8307,15548,12965
1995,13802,13550,10029,7813,16070,12519
1994,13708,13318,9644,7857,15825,12893
1993,13774,13519,9206,7614,15422,12755
1992,14304,13664,8901,7397,15287,12704
1991,13516,13186,8631,7299,15192,12847
1990,13976,13749,8693,6998,15857,12765
1989,14217,14115,8875,6947,16988,13297
1988,14595,14510,8549,6596,17079,13177
1987,14976,14859,7871,6305,16293,13051
1986,14998,14742,7502,5889,16063,12609
1985,15403,14940,7317,5538,15941,12065
1984,15571,15207,6879,5347,15501,12049
1983,15868,15174,6458,4962,15158,11647
1982,15996,15541,6497,4908,15901,12012
1981,16775,16113,6482,4662,16822,12099
1980,16971,16376,6344,4375,18019,12426
1979,17436,16772,6007,3984,18972,12583
1978,17161,16067,5245,3618,18136,12511
1977,16595,15179,4638,3232,17137,11942
1976,16367,14824,4278,2988,16805,11737
1975,15814,14277,4034,2760,16758,11466
1974,16237,14331,3822,2567,17182,11540
