"HOUSEHOLD DATA - ANNUAL AVERAGES 2018
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex. [Numbers in thousands]",,,,,,
Occupations,total_#_ of_workers,total_median_weekly_earnings,male_workers,male_median_weekly_earnings,female_workers,female_median_weekly_earnings
Shoe and leather workers and repairers,1,–,1,–,0,–
Shoe machine operators and tenders,6,–,2,–,3,–
"Tailors, dressmakers, and sewers",43,–,19,–,24,–
Textile bleaching and dyeing machine operators and tenders,0,–,0,–,0,–
"Textile cutting machine setters, operators, and tenders",7,–,7,–,0,–
"Textile knitting and weaving machine setters, operators, and tenders",5,–,2,–,3,–
"Textile winding, twisting, and drawing out machine setters, operators, and tenders",3,–,2,–,1,–
"Extruding and forming machine setters, operators, and tenders, synthetic and glass fibers",0,–,0,–,0,–
Fabric and apparel patternmakers,3,–,0,–,3,–
Upholsterers,19,–,14,–,5,–
"Textile, apparel, and furnishings workers, all other",14,–,7,–,7,–
Cabinetmakers and bench carpenters,47,–,44,–,3,–
Furniture finishers,15,–,13,–,2,–
"Model makers and patternmakers, wood",0,–,0,–,0,–
"Sawing machine setters, operators, and tenders, wood",32,–,27,–,4,–
"Woodworking machine setters, operators, and tenders, except sawing",23,–,13,–,10,–
"Woodworkers, all other",11,–,11,–,0,–
"Power plant operators, distributors, and dispatchers",33,–,32,–,1,–
Stationary engineers and boiler operators,84,"1,073",82,"1,086",2,–
Water and wastewater treatment plant and system operators,99,943,94,940,5,–
Miscellaneous plant and system operators,35,–,35,–,0,–
"Chemical processing machine setters, operators, and tenders",65,894,57,899,8,–
"Crushing, grinding, polishing, mixing, and blending workers",83,672,78,673,5,–
Cutting workers,56,595,43,–,12,–
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",17,–,14,–,3,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",20,–,15,–,4,–
"Inspectors, testers, sorters, samplers, and weighers",756,771,490,868,267,679
Jewelers and precious stone and metal workers,20,–,13,–,7,–
"Medical, dental, and ophthalmic laboratory technicians",74,741,33,–,41,–
Packaging and filling machine operators and tenders,250,529,110,602,140,496
Painting workers,159,710,142,725,16,–
Photographic process workers and processing machine operators,15,–,11,–,4,–
Semiconductor processors,1,–,1,–,0,–
Adhesive bonding machine operators and tenders,8,–,5,–,3,–
"Cleaning, washing, and metal pickling equipment operators and tenders",6,–,6,–,0,–
Cooling and freezing equipment operators and tenders,4,–,4,–,0,–
Etchers and engravers,8,–,6,–,2,–
"Molders, shapers, and casters, except metal and plastic",28,–,27,–,0,–
"Paper goods machine setters, operators, and tenders",20,–,16,–,4,–
Tire builders,5,–,5,–,0,–
Helpers--production workers,37,–,26,–,10,–
"Production workers, all other",992,678,729,725,263,566
Transportation and material moving occupations,"7,542",689,"6,305",724,"1,237",538
Supervisors of transportation and material moving workers,197,850,152,878,45,–
Aircraft pilots and flight engineers,98,"1,743",91,"1,837",7,–
Air traffic controllers and airfield operations specialists,38,–,35,–,3,–
Flight attendants,74,878,21,–,53,822
"Ambulance drivers and attendants, except emergency medical technicians",8,–,8,–,0,–
Bus drivers,361,655,216,735,144,599
Driver/sales workers and truck drivers,"2,791",817,"2,636",829,155,559
Taxi drivers and chauffeurs,399,611,341,628,58,450
"Motor vehicle operators, all other",39,–,34,–,5,–
Locomotive engineers and operators,34,–,30,–,5,–
"Railroad brake, signal, and switch operators",3,–,3,–,0,–
Railroad conductors and yardmasters,54,"1,132",50,"1,143",4,–
"Subway, streetcar, and other rail transportation workers",17,–,17,–,0,–
Sailors and marine oilers,21,–,20,–,1,–
Ship and boat captains and operators,30,–,29,–,1,–
Ship engineers,7,–,7,–,0,–
Bridge and lock tenders,5,–,5,–,0,–
Parking lot attendants,61,575,54,575,8,–
Automotive and watercraft service attendants,70,570,56,575,14,–
Transportation inspectors,37,–,34,–,3,–
"Transportation attendants, except flight attendants",19,–,5,–,13,–
Other transportation workers,19,–,18,–,0,–
Conveyor operators and tenders,4,–,4,–,0,–
Crane and tower operators,64,"1,122",60,"1,079",3,–
"Dredge, excavating, and loading machine operators",19,–,19,–,0,–
Hoist and winch operators,8,–,8,–,0,–
Industrial truck and tractor operators,596,641,549,641,48,–
Cleaners of vehicles and equipment,232,538,192,536,40,–
"Laborers and freight, stock, and material movers, hand","1,595",603,"1,277",620,318,541
Machine feeders and offbearers,25,–,15,–,10,–
"Packers and packagers, hand",490,495,205,516,285,484
Pumping station operators,16,–,16,–,0,–
Refuse and recyclable material collectors,63,524,55,536,8,–
Mine shuttle car operators,0,–,0,–,0,–
"Tank car, truck, and ship loaders",6,–,6,–,0,–
"Material moving workers, all other",41,–,37,–,4,–
,,,,,,
"NOTE: Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,
