"HOUSEHOLD DATA - ANNUAL AVERAGES 2018
39. Median weekly earnings of full-time wage and salary workers by detailed occupation and sex. [Numbers in thousands]",,,,,,
Occupations,total_#_ of_workers,total_median_weekly_earnings,male_workers,male_median_weekly_earnings,female_workers,female_median_weekly_earnings
"Agents and business managers of artists, performers, and athletes",31,–,13,–,18,–
"Buyers and purchasing agents, farm products",10,–,7,–,3,–
"Wholesale and retail buyers, except farm products",147,878,82,878,65,880
"Purchasing agents, except wholesale, retail, and farm products",223,"1,160",121,"1,209",102,"1,032"
"Claims adjusters, appraisers, examiners, and investigators",334,998,145,"1,167",189,913
Compliance officers,278,"1,296",129,"1,450",149,"1,165"
Cost estimators,109,"1,165",95,"1,208",14,–
Human resources workers,620,"1,161",190,"1,328",429,"1,107"
"Compensation, benefits, and job analysis specialists",48,–,17,–,31,–
Training and development specialists,111,"1,092",47,–,64,"1,086"
Logisticians,127,"1,019",81,"1,131",46,–
Management analysts,635,"1,532",356,"1,642",279,"1,437"
"Meeting, convention, and event planners",89,"1,002",21,–,69,"1,006"
Fundraisers,82,"1,262",22,–,60,"1,168"
Market research analysts and marketing specialists,299,"1,246",125,"1,503",174,"1,148"
"Business operations specialists, all other",223,"1,150",95,"1,234",127,"1,072"
Accountants and auditors,"1,615","1,209",646,"1,404",969,"1,108"
Appraisers and assessors of real estate,47,–,24,–,22,–
Budget analysts,52,"1,351",17,–,35,–
Credit analysts,27,–,12,–,14,–
Financial analysts,261,"1,470",138,"1,599",122,"1,197"
Personal financial advisors,414,"1,473",268,"1,647",146,"1,207"
Insurance underwriters,122,"1,268",51,"1,413",71,"1,032"
Financial examiners,11,–,2,–,9,–
Credit counselors and loan officers,332,"1,168",155,"1,443",177,948
"Tax examiners and collectors, and revenue agents",42,–,13,–,29,–
Tax preparers,62,"1,028",26,–,36,–
"Financial specialists, all other",35,–,13,–,22,–
Professional and related occupations,"28,945","1,176","13,017","1,425","15,929","1,024"
Computer and mathematical occupations,"4,755","1,539","3,571","1,604","1,184","1,345"
Computer and information research scientists,20,–,16,–,4,–
Computer systems analysts,580,"1,521",358,"1,647",222,"1,246"
Information security analysts,93,"1,635",75,"1,625",18,–
Computer programmers,428,"1,591",338,"1,662",91,"1,445"
"Software developers, applications and systems software","1,611","1,864","1,283","1,894",327,"1,644"
Web developers,164,"1,333",115,"1,418",49,–
Computer support specialists,516,"1,085",376,"1,114",140,"1,015"
Database administrators,108,"1,493",67,"1,573",40,–
Network and computer systems administrators,192,"1,430",155,"1,478",37,–
Computer network architects,112,"1,765",102,"1,771",10,–
"Computer occupations, all other",678,"1,226",548,"1,238",131,"1,208"
Actuaries,35,–,24,–,11,–
Mathematicians,3,–,2,–,1,–
Operations research analysts,125,"1,418",66,"1,566",58,"1,299"
Statisticians,85,"1,437",41,–,43,–
Miscellaneous mathematical science occupations,5,–,3,–,2,–
Architecture and engineering occupations,"2,994","1,484","2,541","1,528",453,"1,259"
"Architects, except naval",170,"1,464",118,"1,538",52,"1,301"
"Surveyors, cartographers, and photogrammetrists",35,–,28,–,7,–
Aerospace engineers,145,"1,788",129,"1,836",16,–
Agricultural engineers,5,–,5,–,0,–
Biomedical engineers,12,–,11,–,1,–
Chemical engineers,65,"1,858",57,"1,858",8,–
Civil engineers,410,"1,495",346,"1,551",63,"1,282"
Computer hardware engineers,70,"1,772",60,"1,852",11,–
Electrical and electronics engineers,282,"1,646",251,"1,661",31,–
Environmental engineers,35,–,30,–,5,–
"Industrial engineers, including health and safety",245,"1,499",191,"1,571",54,"1,163"
Marine engineers and naval architects,15,–,15,–,0,–
Materials engineers,42,–,32,–,10,–
Mechanical engineers,313,"1,562",282,"1,581",31,–
"Mining and geological engineers, including mining safety engineers",8,–,6,–,2,–
Nuclear engineers,13,–,12,–,1,–
Petroleum engineers,27,–,22,–,5,–
"Engineers, all other",528,"1,575",463,"1,610",65,"1,356"
Drafters,112,"1,021",91,"1,029",22,–
"Engineering technicians, except drafters",398,"1,129",332,"1,154",66,934
Surveying and mapping technicians,63,984,60,995,3,–
"Life, physical, and social science occupations","1,308","1,270",733,"1,357",575,"1,156"
Agricultural and food scientists,30,–,16,–,13,–
Biological scientists,101,"1,250",55,"1,164",46,–
Conservation scientists and foresters,17,–,9,–,8,–
Medical scientists,160,"1,319",80,"1,416",81,"1,156"
"Life scientists, all other",1,–,0,–,1,–
Astronomers and physicists,14,–,14,–,0,–
Atmospheric and space scientists,7,–,6,–,1,–
Chemists and materials scientists,115,"1,284",70,"1,362",45,–
Environmental scientists and geoscientists,80,"1,336",52,"1,427",28,–
"Physical scientists, all other",289,"1,455",169,"1,582",120,"1,341"
Economists,35,–,29,–,6,–
Survey researchers,0,–,0,–,0,–
Psychologists,134,"1,331",35,–,99,"1,255"
Sociologists,5,–,2,–,3,–
Urban and regional planners,28,–,15,–,13,–
Miscellaneous social scientists and related workers,39,–,25,–,14,–
Agricultural and food science technicians,31,–,24,–,7,–
Biological technicians,17,–,10,–,7,–
Chemical technicians,58,"1,002",42,–,17,–
Geological and petroleum technicians,11,–,7,–,4,–
Nuclear technicians,11,–,8,–,3,–
Social science research assistants,0,–,0,–,0,–
"Miscellaneous life, physical, and social science technicians",124,862,66,893,58,856
Community and social service occupations,"2,223",913,754,984,"1,469",886
Counselors,705,941,199,"1,004",506,913
Social workers,753,907,141,958,611,897
Probation officers and correctional treatment specialists,105,944,45,–,60,930
Social and human service assistants,166,749,33,–,133,752
"Miscellaneous community and social service specialists, including health educators and community health workers",62,881,14,–,48,–
Clergy,337,990,268,"1,036",68,855
"Directors, religious activities and education",51,927,27,–,25,–
"Religious workers, all other",45,–,27,–,18,–
Legal occupations,"1,466","1,467",651,"1,910",815,"1,243"
Lawyers,853,"1,947",509,"2,202",344,"1,762"
Judicial law clerks,15,–,7,–,8,–
"Judges, magistrates, and other judicial workers",69,"1,602",49,–,19,–
Paralegals and legal assistants,413,948,54,917,359,953
Miscellaneous legal support workers,117,"1,143",32,–,85,"1,109"
"Education, training, and library occupations","7,166","1,002","1,915","1,235","5,251",934
Postsecondary teachers,994,"1,439",534,"1,603",460,"1,253"
Preschool and kindergarten teachers,568,648,14,–,555,643
