CoC Number,CoC Name,CoC Category,"Overall Homeless, 2018","Sheltered ES Homeless, 2018","Sheltered TH Homeless, 2018","Sheltered SH Homeless, 2018","Sheltered Total Homeless, 2018","Unsheltered Homeless, 2018","Homeless Individuals, 2018","Sheltered ES Homeless Individuals, 2018","Sheltered TH Homeless Individuals, 2018","Sheltered SH Homeless Individuals, 2018","Sheltered Total Homeless Individuals, 2018","Unsheltered Homeless Individuals, 2018","Homeless People in Families, 2018","Sheltered ES Homeless People in Families, 2018","Sheltered TH Homeless People in Families, 2018","Sheltered Total Homeless People in Families, 2018","Unsheltered Homeless People in Families, 2018","Homeless Family Households, 2018","Sheltered ES Homeless Family Households, 2018","Sheltered TH Homeless Family Households, 2018","Sheltered Total Homeless Family Households, 2018","Unsheltered Homeless Family Households, 2018","Chronically Homeless, 2018","Sheltered ES Chronically Homeless, 2018","Sheltered SH Chronically Homeless, 2018","Sheltered Total Chronically Homeless, 2018","Unsheltered Chronically Homeless, 2018","Chronically Homeless Individuals, 2018","Sheltered ES Chronically Homeless Individuals, 2018","Sheltered SH Chronically Homeless Individuals, 2018","Sheltered Total Chronically Homeless Individuals, 2018","Unsheltered Chronically Homeless Individuals, 2018","Chronically Homeless People in Families, 2018","Sheltered ES Chronically Homeless People in Families, 2018","Sheltered Total Chronically Homeless People in Families, 2018","Unsheltered Chronically Homeless People in Families, 2018","Homeless Veterans, 2018","Sheltered ES Homeless Veterans, 2018","Sheltered TH Homeless Veterans, 2018","Sheltered SH Homeless Veterans, 2018","Sheltered Total Homeless Veterans, 2018","Unsheltered Homeless Veterans, 2018","Homeless Unaccompanied Youth (Under 25), 2018","Sheltered ES Homeless Unaccompanied Youth (Under 25), 2018","Sheltered TH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered SH Homeless Unaccompanied Youth (Under 25), 2018","Sheltered Total Homeless Unaccompanied Youth (Under 25), 2018","Unsheltered Homeless Unaccompanied Youth (Under 25), 2018","Homeless Unaccompanied Youth Under 18, 2018","Sheltered ES Homeless Unaccompanied Youth Under 18, 2018","Sheltered TH Homeless Unaccompanied Youth Under 18, 2018","Sheltered SH Homeless Unaccompanied Youth Under 18, 2018","Sheltered Total Homeless Unaccompanied Youth Under 18, 2018","Unsheltered Homeless Unaccompanied Youth Under 18, 2018","Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered ES Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered TH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered SH Homeless Unaccompanied Youth Age 18-24, 2018","Sheltered Total Homeless Unaccompanied Youth Age 18-24, 2018","Unsheltered Homeless Unaccompanied Youth Age 18-24, 2018","Homeless Parenting Youth (Under 25), 2018","Sheltered ES Homeless Parenting Youth (Under 25), 2018","Sheltered TH Homeless Parenting Youth (Under 25), 2018","Sheltered Total Homeless Parenting Youth (Under 25), 2018","Unsheltered Homeless Parenting Youth (Under 25), 2018","Homeless Parenting Youth Under 18, 2018","Sheltered ES Homeless Parenting Youth Under 18, 2018","Sheltered TH Homeless Parenting Youth Under 18, 2018","Sheltered Total Homeless Parenting Youth Under 18, 2018","Unsheltered Homeless Parenting Youth Under 18, 2018","Homeless Parenting Youth Age 18-24, 2018","Sheltered ES Homeless Parenting Youth Age 18-24, 2018","Sheltered TH Homeless Parenting Youth Age 18-24, 2018","Sheltered Total Homeless Parenting Youth Age 18-24, 2018","Unsheltered Homeless Parenting Youth Age 18-24, 2018","Homeless Children of Parenting Youth, 2018","Sheltered ES Homeless Children of Parenting Youth, 2018","Sheltered TH Homeless Children of Parenting Youth, 2018","Sheltered Total Homeless Children of Parenting Youth, 2018","Unsheltered Homeless Children of Parenting Youth, 2018"
NY-508,"Buffalo, Niagara Falls/Erie, Niagara, Orleans, Genesee, Wyoming Counties CoC",Suburban CoCs,957,672,255,15,942,15,612,424,158,15,597,15,345,248,97,345,0,108,70,38,108,0,25,14,11,25,0,25,14,11,25,0,0,0,0,0,88,33,51,4,88,0,76,59,17,0,76,0,16,11,5,0,16,0,60,48,12,0,60,0,23,12,11,23,0,1,0,1,1,0,22,12,10,22,0,34,19,15,34,0
NY-510,Ithaca/Tompkins County CoC,Rural CoCs,91,33,13,0,46,45,75,19,11,0,30,45,16,14,2,16,0,6,5,1,6,0,5,1,0,1,4,5,1,0,1,4,0,0,0,0,8,3,0,0,3,5,12,3,7,0,10,2,0,0,0,0,0,0,12,3,7,0,10,2,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,2,1,1,2,0
NY-511,"Binghamton, Union Town/Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count",Rural CoCs,244,92,74,0,166,78,211,74,71,0,145,66,33,18,3,21,12,13,6,1,7,6,21,11,0,11,10,21,11,0,11,10,0,0,0,0,17,4,13,0,17,0,36,7,14,0,21,15,9,2,7,0,9,0,27,5,7,0,12,15,10,5,0,5,5,2,2,0,2,0,8,3,0,3,5,9,4,0,4,5
NY-512,Troy/Rensselaer County CoC,Suburban CoCs,178,135,37,0,172,6,100,82,12,0,94,6,78,53,25,78,0,26,17,9,26,0,7,1,0,1,6,7,1,0,1,6,0,0,0,0,1,1,0,0,1,0,10,10,0,0,10,0,0,0,0,0,0,0,10,10,0,0,10,0,7,7,0,7,0,0,0,0,0,0,7,7,0,7,0,10,10,0,10,0
NY-513,"Wayne, Ontario, Seneca, Yates Counties CoC",Rural CoCs,182,83,66,14,163,19,182,83,66,14,163,19,0,0,0,0,0,0,0,0,0,0,6,4,2,6,0,6,4,2,6,0,0,0,0,0,20,0,6,14,20,0,31,24,6,0,30,1,4,4,0,0,4,0,27,20,6,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-514,"Jamestown, Dunkirk/Chautauqua County CoC",Rural CoCs,145,66,76,0,142,3,94,50,41,0,91,3,51,16,35,51,0,15,3,12,15,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,4,2,2,0,4,0,33,10,23,0,33,0,8,1,7,0,8,0,25,9,16,0,25,0,2,0,2,2,0,0,0,0,0,0,2,0,2,2,0,1,0,1,1,0
NY-516,Clinton County CoC,Rural CoCs,197,188,8,0,196,1,114,105,8,0,113,1,83,83,0,83,0,26,26,0,26,0,13,13,0,13,0,9,9,0,9,0,4,4,4,0,4,4,0,0,4,0,9,7,2,0,9,0,0,0,0,0,0,0,9,7,2,0,9,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
NY-518,"Utica, Rome/Oneida, Madison Counties CoC",Rural CoCs,178,106,56,0,162,16,100,85,6,0,91,9,78,21,50,71,7,25,7,16,23,2,19,17,0,17,2,19,17,0,17,2,0,0,0,0,4,4,0,0,4,0,12,11,1,0,12,0,2,2,0,0,2,0,10,9,1,0,10,0,9,2,6,8,1,1,0,1,1,0,8,2,5,7,1,11,3,7,10,1
NY-519,"Columbia, Greene Counties CoC",Rural CoCs,196,188,3,0,191,5,113,108,0,0,108,5,83,80,3,83,0,25,24,1,25,0,4,4,0,4,0,2,2,0,2,0,2,2,2,0,0,0,0,0,0,0,13,13,0,0,13,0,0,0,0,0,0,0,13,13,0,0,13,0,8,8,0,8,0,0,0,0,0,0,8,8,0,8,0,8,8,0,8,0
NY-520,"Franklin, Essex Counties CoC",Rural CoCs,42,28,14,0,42,0,25,20,5,0,25,0,17,8,9,17,0,5,3,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NY-522,"Jefferson, Lewis, St. Lawrence Counties CoC",Rural CoCs,96,40,50,0,90,6,81,27,48,0,75,6,15,13,2,15,0,5,4,1,5,0,2,0,0,0,2,2,0,0,0,2,0,0,0,0,7,3,4,0,7,0,7,0,4,0,4,3,0,0,0,0,0,0,7,0,4,0,4,3,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,9,9,0,9,0
NY-523,"Glens Falls, Saratoga Springs/Saratoga, Washington, Warren, Hamilton Counties Co",Suburban CoCs,257,213,21,0,234,23,225,185,19,0,204,21,32,28,2,30,2,12,10,1,11,1,16,15,0,15,1,12,11,0,11,1,4,4,4,0,26,7,19,0,26,0,17,16,0,0,16,1,5,5,0,0,5,0,12,11,0,0,11,1,2,1,1,2,0,0,0,0,0,0,2,1,1,2,0,3,2,1,3,0
NY-600,New York City CoC,Major Cities,"78,676","72,187","2,742",36,"74,965","3,711","33,391","26,931","2,713",36,"29,680","3,711","45,285","45,256",29,"45,285",0,"14,261","14,247",14,"14,261",0,"6,336","4,838",29,"4,867","1,469","5,131","3,633",29,"3,662","1,469","1,205","1,205","1,205",0,605,413,148,36,597,8,"2,142","1,543",379,0,"1,922",220,6,0,0,0,0,6,"2,136","1,543",379,0,"1,922",214,"2,422","2,409",13,"2,422",0,0,0,0,0,0,"2,422","2,409",13,"2,422",0,"2,810","2,796",14,"2,810",0
NY-601,Poughkeepsie/Dutchess County CoC,Suburban CoCs,399,219,171,0,390,9,226,120,97,0,217,9,173,99,74,173,0,61,36,25,61,0,26,22,0,22,4,13,9,0,9,4,13,13,13,0,5,1,4,0,5,0,29,21,8,0,29,0,6,6,0,0,6,0,23,15,8,0,23,0,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,5,5,0,5,0
NY-602,"Newburgh, Middletown/Orange County CoC",Suburban CoCs,480,342,96,0,438,42,229,133,54,0,187,42,251,209,42,251,0,77,63,14,77,0,101,76,0,76,25,86,61,0,61,25,15,15,15,0,17,11,0,0,11,6,31,19,10,0,29,2,5,5,0,0,5,0,26,14,10,0,24,2,13,12,1,13,0,0,0,0,0,0,13,12,1,13,0,25,24,1,25,0
NY-603,"Nassau, Suffolk Counties CoC",Suburban CoCs,"3,868","3,646",152,18,"3,816",52,992,846,76,18,940,52,"2,876","2,800",76,"2,876",0,850,821,29,850,0,117,98,0,98,19,59,40,0,40,19,58,58,58,0,135,72,44,18,134,1,102,94,8,0,102,0,15,11,4,0,15,0,87,83,4,0,87,0,92,84,8,92,0,0,0,0,0,0,92,84,8,92,0,152,139,13,152,0
NY-604,"Yonkers, Mount Vernon/Westchester County CoC",Suburban CoCs,"1,827","1,081",702,0,"1,783",44,611,505,62,0,567,44,"1,216",576,640,"1,216",0,396,195,201,396,0,164,150,0,150,14,140,126,0,126,14,24,24,24,0,45,28,14,0,42,3,73,38,31,0,69,4,7,6,1,0,7,0,66,32,30,0,62,4,70,41,29,70,0,1,1,0,1,0,69,40,29,69,0,85,48,37,85,0
NY-606,Rockland County CoC,Suburban CoCs,180,95,35,0,130,50,145,60,35,0,95,50,35,35,0,35,0,13,13,0,13,0,37,16,0,16,21,25,4,0,4,21,12,12,12,0,3,3,0,0,3,0,10,3,7,0,10,0,0,0,0,0,0,0,10,3,7,0,10,0,3,3,0,3,0,0,0,0,0,0,3,3,0,3,0,5,5,0,5,0
NY-607,Sullivan County CoC,Rural CoCs,189,180,0,0,180,9,124,117,0,0,117,7,65,63,0,63,2,20,19,0,19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,3,0,16,11,0,0,11,5,2,0,0,0,0,2,14,11,0,0,11,3,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,4,4,0,4,0
NY-608,Kingston/Ulster County CoC,Rural CoCs,464,403,29,0,432,32,160,107,27,0,134,26,304,296,2,298,6,91,88,1,89,2,32,23,0,23,9,14,7,0,7,7,18,16,16,2,5,3,0,0,3,2,29,17,10,0,27,2,6,4,2,0,6,0,23,13,8,0,21,2,9,6,3,9,0,2,0,2,2,0,7,6,1,7,0,12,9,3,12,0
OH-500,Cincinnati/Hamilton County CoC,Suburban CoCs,"1,114",810,242,15,"1,067",47,831,581,188,15,784,47,283,229,54,283,0,82,65,17,82,0,70,62,2,64,6,70,62,2,64,6,0,0,0,0,161,37,106,15,158,3,97,68,27,0,95,2,14,14,0,0,14,0,83,54,27,0,81,2,13,9,4,13,0,0,0,0,0,0,13,9,4,13,0,20,14,6,20,0
OH-501,Toledo/Lucas County CoC,Other Urban CoCs,662,507,121,12,640,22,403,313,58,12,383,20,259,194,63,257,2,78,58,19,77,1,51,36,6,42,9,37,22,6,28,9,14,14,14,0,24,12,12,0,24,0,24,21,3,0,24,0,6,6,0,0,6,0,18,15,3,0,18,0,10,8,2,10,0,0,0,0,0,0,10,8,2,10,0,18,14,4,18,0
OH-502,Cleveland/Cuyahoga County CoC,Suburban CoCs,"1,808","1,597",95,38,"1,730",78,"1,377","1,166",95,38,"1,299",78,431,431,0,431,0,123,123,0,123,0,172,111,16,127,45,172,111,16,127,45,0,0,0,0,159,44,95,19,158,1,104,93,0,0,93,11,0,0,0,0,0,0,104,93,0,0,93,11,12,12,0,12,0,0,0,0,0,0,12,12,0,12,0,19,19,0,19,0
OH-503,Columbus/Franklin County CoC,Major Cities,"1,807","1,427",92,0,"1,519",288,"1,241",912,47,0,959,282,566,515,45,560,6,169,147,20,167,2,137,41,0,41,96,137,41,0,41,96,0,0,0,0,100,60,26,0,86,14,125,79,17,0,96,29,4,4,0,0,4,0,121,75,17,0,92,29,49,28,21,49,0,0,0,0,0,0,49,28,21,49,0,62,38,24,62,0
OH-504,Youngstown/Mahoning County CoC,Other Urban CoCs,180,149,8,0,157,23,95,70,2,0,72,23,85,79,6,85,0,28,25,3,28,0,25,21,0,21,4,25,21,0,21,4,0,0,0,0,12,10,0,0,10,2,12,12,0,0,12,0,3,3,0,0,3,0,9,9,0,0,9,0,4,3,1,4,0,0,0,0,0,0,4,3,1,4,0,11,10,1,11,0
OH-505,"Dayton, Kettering/Montgomery County CoC",Suburban CoCs,680,499,130,0,629,51,566,408,107,0,515,51,114,91,23,114,0,39,28,11,39,0,30,28,0,28,2,30,28,0,28,2,0,0,0,0,52,19,32,0,51,1,86,39,45,0,84,2,5,5,0,0,5,0,81,34,45,0,79,2,16,5,11,16,0,0,0,0,0,0,16,5,11,16,0,20,8,12,20,0
OH-506,"Akron, Barberton/Summit County CoC",Suburban CoCs,587,270,167,17,454,133,462,189,123,17,329,133,125,81,44,125,0,35,23,12,35,0,46,3,5,8,38,46,3,5,8,38,0,0,0,0,64,19,30,7,56,8,44,16,22,0,38,6,14,8,6,0,14,0,30,8,16,0,24,6,4,4,0,4,0,0,0,0,0,0,4,4,0,4,0,6,6,0,6,0
OH-507,Ohio Balance of State CoC,Rural CoCs,"3,133","1,754",736,10,"2,500",633,"1,809","1,028",249,10,"1,287",522,"1,324",726,487,"1,213",111,418,230,156,386,32,196,91,3,94,102,180,75,3,78,102,16,16,16,0,162,75,65,1,141,21,184,108,37,0,145,39,5,5,0,0,5,0,179,103,37,0,140,39,74,34,34,68,6,0,0,0,0,0,74,34,34,68,6,110,50,52,102,8
OH-508,"Canton, Massillon, Alliance/Stark County CoC",Suburban CoCs,278,221,17,0,238,40,145,103,2,0,105,40,133,118,15,133,0,43,38,5,43,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,15,10,0,0,10,5,10,6,0,0,6,4,0,0,0,0,0,0,10,6,0,0,6,4,9,9,0,9,0,0,0,0,0,0,9,9,0,9,0,14,14,0,14,0
OK-500,North Central Oklahoma CoC,Rural CoCs,181,89,52,0,141,40,98,44,19,0,63,35,83,45,33,78,5,27,15,11,26,1,7,6,0,6,1,3,2,0,2,1,4,4,4,0,1,0,0,0,0,1,18,14,3,0,17,1,4,4,0,0,4,0,14,10,3,0,13,1,5,2,3,5,0,0,0,0,0,0,5,2,3,5,0,7,2,5,7,0
OK-501,Tulsa City & County CoC,Major Cities,"1,083",625,215,17,857,226,876,504,137,17,658,218,207,121,78,199,8,67,39,25,64,3,159,48,16,64,95,155,48,16,64,91,4,0,0,4,113,48,39,2,89,24,122,32,37,1,70,52,7,4,0,0,4,3,115,28,37,1,66,49,17,5,12,17,0,0,0,0,0,0,17,5,12,17,0,18,8,10,18,0
OK-502,Oklahoma City CoC,Major Cities,"1,183",635,154,0,789,394,940,510,81,0,591,349,243,125,73,198,45,82,43,25,68,14,260,63,0,63,197,243,57,0,57,186,17,6,6,11,121,50,35,0,85,36,53,29,12,0,41,12,0,0,0,0,0,0,53,29,12,0,41,12,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,2,2,0,2,0
OK-503,Oklahoma Balance of State CoC,Rural CoCs,233,78,0,0,78,155,47,4,0,0,4,43,186,74,0,74,112,57,20,0,20,37,42,17,0,17,25,25,4,0,4,21,17,13,13,4,5,3,0,0,3,2,5,0,0,0,0,5,1,0,0,0,0,1,4,0,0,0,0,4,12,2,0,2,10,0,0,0,0,0,12,2,0,2,10,10,2,0,2,8
OK-504,Norman/Cleveland County CoC,Suburban CoCs,364,76,61,0,137,227,331,76,28,0,104,227,33,0,33,33,0,6,0,6,6,0,303,76,0,76,227,303,76,0,76,227,0,0,0,0,15,1,4,0,5,10,13,0,2,0,2,11,0,0,0,0,0,0,13,0,2,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OK-505,Northeast Oklahoma CoC,Rural CoCs,392,293,48,0,341,51,232,168,40,0,208,24,160,125,8,133,27,50,38,3,41,9,93,71,0,71,22,36,26,0,26,10,57,45,45,12,15,13,0,0,13,2,57,44,10,0,54,3,14,14,0,0,14,0,43,30,10,0,40,3,2,2,0,2,0,0,0,0,0,0,2,2,0,2,0,1,1,0,1,0
OK-506,Southwest Oklahoma Regional CoC,Rural CoCs,191,96,54,0,150,41,114,62,14,0,76,38,77,34,40,74,3,19,8,10,18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,3,1,0,4,25,16,0,14,0,14,2,0,0,0,0,0,0,16,0,14,0,14,2,4,0,4,4,0,0,0,0,0,0,4,0,4,4,0,5,0,5,5,0
OK-507,Southeastern Oklahoma Regional CoC,Rural CoCs,244,185,2,0,187,57,185,142,2,0,144,41,59,43,0,43,16,19,14,0,14,5,44,33,0,33,11,39,28,0,28,11,5,5,5,0,14,7,0,0,7,7,29,28,0,0,28,1,9,9,0,0,9,0,20,19,0,0,19,1,2,1,0,1,1,0,0,0,0,0,2,1,0,1,1,2,1,0,1,1
OR-500,"Eugene, Springfield/Lane County CoC",Other Urban CoCs,"1,641",412,95,0,507,"1,134","1,390",338,31,0,369,"1,021",251,74,64,138,113,76,22,22,44,32,712,112,0,112,600,677,105,0,105,572,35,7,7,28,173,35,18,0,53,120,132,25,9,0,34,98,25,13,0,0,13,12,107,12,9,0,21,86,2,0,1,1,1,0,0,0,0,0,2,0,1,1,1,2,0,1,1,1
OR-501,"Portland, Gresham/Multnomah County CoC",Major Cities,"4,019","1,804",547,0,"2,351","1,668","3,394","1,298",505,0,"1,803","1,591",625,506,42,548,77,193,150,15,165,28,"1,384",467,0,467,917,"1,312",411,0,411,901,72,56,56,16,448,141,124,0,265,183,314,116,66,0,182,132,13,4,1,0,5,8,301,112,65,0,177,124,19,9,6,15,4,0,0,0,0,0,19,9,6,15,4,21,12,5,17,4
OR-502,"Medford, Ashland/Jackson County CoC",Suburban CoCs,732,240,163,0,403,329,624,192,115,0,307,317,108,48,48,96,12,39,14,21,35,4,259,67,0,67,192,245,63,0,63,182,14,4,4,10,116,33,49,0,82,34,64,19,18,0,37,27,15,9,6,0,15,0,49,10,12,0,22,27,11,1,10,11,0,0,0,0,0,0,11,1,10,11,0,13,1,12,13,0
OR-503,Central Oregon CoC,Rural CoCs,787,191,41,0,232,555,588,161,37,0,198,390,199,30,4,34,165,62,11,2,13,49,172,23,0,23,149,139,19,0,19,120,33,4,4,29,60,17,7,0,24,36,98,25,17,0,42,56,15,5,3,0,8,7,83,20,14,0,34,49,5,2,2,4,1,0,0,0,0,0,5,2,2,4,1,5,2,2,4,1
OR-505,Oregon Balance of State CoC,Rural CoCs,"6,392","1,042",816,0,"1,858","4,534","4,419",820,423,0,"1,243","3,176","1,973",222,393,615,"1,358",672,82,129,211,461,"1,503",278,0,278,"1,225","1,369",257,0,257,"1,112",134,21,21,113,474,73,55,0,128,346,641,91,77,0,168,473,243,35,15,0,50,193,398,56,62,0,118,280,53,12,16,28,25,0,0,0,0,0,53,12,16,28,25,58,12,21,33,25
OR-506,"Hillsboro, Beaverton/Washington County CoC",Suburban CoCs,522,65,90,8,163,359,407,13,70,8,91,316,115,52,20,72,43,39,18,8,26,13,166,7,6,13,153,149,1,6,7,142,17,6,6,11,71,0,47,0,47,24,45,10,9,1,20,25,6,4,1,0,5,1,39,6,8,1,15,24,6,0,3,3,3,0,0,0,0,0,6,0,3,3,3,5,0,3,3,2
OR-507,Clackamas County CoC,Suburban CoCs,383,3,34,0,37,346,317,0,16,0,16,301,66,3,18,21,45,27,1,7,8,19,125,0,0,0,125,122,0,0,0,122,3,0,0,3,21,0,1,0,1,20,15,0,7,0,7,8,0,0,0,0,0,0,15,0,7,0,7,8,9,0,9,9,0,1,0,1,1,0,8,0,8,8,0,10,0,10,10,0
PA-500,Philadelphia CoC,Major Cities,"5,788","3,420","1,050",235,"4,705","1,083","3,589","1,939",332,235,"2,506","1,083","2,199","1,481",718,"2,199",0,744,493,251,744,0,943,334,182,516,427,909,300,182,482,427,34,34,34,0,239,74,90,39,203,36,300,153,29,22,204,96,36,19,0,0,19,17,264,134,29,22,185,79,183,99,84,183,0,0,0,0,0,0,183,99,84,183,0,271,148,123,271,0
PA-501,Harrisburg/Dauphin County CoC,Suburban CoCs,445,263,125,22,410,35,260,180,23,22,225,35,185,83,102,185,0,64,30,34,64,0,47,16,22,38,9,47,16,22,38,9,0,0,0,0,39,17,11,5,33,6,13,11,1,0,12,1,0,0,0,0,0,0,13,11,1,0,12,1,13,3,10,13,0,0,0,0,0,0,13,3,10,13,0,20,3,17,20,0
PA-502,"Upper Darby, Chester, Haverford/Delaware County CoC",Suburban CoCs,414,290,71,0,361,53,234,153,28,0,181,53,180,137,43,180,0,58,40,18,58,0,33,14,0,14,19,33,14,0,14,19,0,0,0,0,6,6,0,0,6,0,18,8,7,0,15,3,0,0,0,0,0,0,18,8,7,0,15,3,6,3,3,6,0,0,0,0,0,0,6,3,3,6,0,5,2,3,5,0
PA-503,"Wilkes-Barre, Hazleton/Luzerne County CoC",Suburban CoCs,165,78,81,0,159,6,95,59,30,0,89,6,70,19,51,70,0,24,7,17,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,8,0,9,0,15,7,8,0,15,0,0,0,0,0,0,0,15,7,8,0,15,0,3,0,3,3,0,0,0,0,0,0,3,0,3,3,0,7,0,7,7,0
PA-504,"Lower Merion, Norristown, Abington/Montgomery County CoC",Suburban CoCs,291,226,45,0,271,20,141,111,10,0,121,20,150,115,35,150,0,44,32,12,44,0,20,17,0,17,3,20,17,0,17,3,0,0,0,0,8,7,1,0,8,0,5,5,0,0,5,0,0,0,0,0,0,0,5,5,0,0,5,0,5,4,1,5,0,0,0,0,0,0,5,4,1,5,0,6,5,1,6,0
PA-505,Chester County CoC,Suburban CoCs,579,266,300,0,566,13,365,109,243,0,352,13,214,157,57,214,0,69,56,13,69,0,11,11,0,11,0,11,11,0,11,0,0,0,0,0,206,15,191,0,206,0,6,4,2,0,6,0,0,0,0,0,0,0,6,4,2,0,6,0,7,7,0,7,0,0,0,0,0,0,7,7,0,7,0,7,7,0,7,0
PA-506,Reading/Berks County CoC,Suburban CoCs,562,305,246,0,551,11,406,239,156,0,395,11,156,66,90,156,0,51,23,28,51,0,5,4,0,4,1,5,4,0,4,1,0,0,0,0,39,21,18,0,39,0,21,13,7,0,20,1,0,0,0,0,0,0,21,13,7,0,20,1,14,5,9,14,0,0,0,0,0,0,14,5,9,14,0,25,9,16,25,0
PA-508,Scranton/Lackawanna County CoC,Suburban CoCs,159,76,70,8,154,5,100,56,31,8,95,5,59,20,39,59,0,19,6,13,19,0,12,10,1,11,1,12,10,1,11,1,0,0,0,0,33,7,26,0,33,0,8,4,4,0,8,0,0,0,0,0,0,0,8,4,4,0,8,0,6,2,4,6,0,0,0,0,0,0,6,2,4,6,0,11,5,6,11,0
PA-509,Eastern Pennsylvania CoC,Rural CoCs,"1,998","1,032",620,0,"1,652",346,"1,108",535,247,0,782,326,890,497,373,870,20,288,155,127,282,6,91,67,0,67,24,73,53,0,53,20,18,14,14,4,97,36,49,0,85,12,143,72,41,0,113,30,14,11,2,0,13,1,129,61,39,0,100,29,63,28,35,63,0,0,0,0,0,0,63,28,35,63,0,95,44,51,95,0
PA-510,Lancaster City & County CoC,Suburban CoCs,406,248,142,0,390,16,226,125,85,0,210,16,180,123,57,180,0,56,38,18,56,0,22,12,0,12,10,14,4,0,4,10,8,8,8,0,32,4,26,0,30,2,15,12,3,0,15,0,0,0,0,0,0,0,15,12,3,0,15,0,8,6,2,8,0,0,0,0,0,0,8,6,2,8,0,16,13,3,16,0
PA-511,"Bristol, Bensalem/Bucks County CoC",Suburban CoCs,397,155,223,0,378,19,194,105,70,0,175,19,203,50,153,203,0,68,15,53,68,0,25,22,0,22,3,25,22,0,22,3,0,0,0,0,13,8,2,0,10,3,13,7,4,0,11,2,0,0,0,0,0,0,13,7,4,0,11,2,13,4,9,13,0,0,0,0,0,0,13,4,9,13,0,18,7,11,18,0
PA-512,York City & County CoC,Suburban CoCs,324,177,114,0,291,33,167,102,35,0,137,30,157,75,79,154,3,47,20,26,46,1,13,8,0,8,5,13,8,0,8,5,0,0,0,0,11,5,4,0,9,2,21,15,5,0,20,1,0,0,0,0,0,0,21,15,5,0,20,1,7,6,1,7,0,0,0,0,0,0,7,6,1,7,0,7,6,1,7,0
PA-600,"Pittsburgh, McKeesport, Penn Hills/Allegheny County CoC",Suburban CoCs,783,575,146,6,727,56,509,323,124,6,453,56,274,252,22,274,0,85,81,4,85,0,117,91,6,97,20,95,69,6,75,20,22,22,22,0,115,43,63,6,112,3,36,31,3,0,34,2,0,0,0,0,0,0,36,31,3,0,34,2,6,6,0,6,0,0,0,0,0,0,6,6,0,6,0,15,15,0,15,0
PA-601,Western Pennsylvania CoC,Rural CoCs,748,435,266,9,710,38,471,294,137,9,440,31,277,141,129,270,7,89,46,41,87,2,46,37,0,37,9,46,37,0,37,9,0,0,0,0,102,31,66,0,97,5,54,28,18,1,47,7,0,0,0,0,0,0,54,28,18,1,47,7,12,3,8,11,1,0,0,0,0,0,12,3,8,11,1,13,3,9,12,1
PA-603,Beaver County CoC,Suburban CoCs,117,79,32,0,111,6,67,43,18,0,61,6,50,36,14,50,0,15,11,4,15,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,4,3,0,0,3,1,2,2,0,0,2,0,0,0,0,0,0,0,2,2,0,0,2,0,1,1,0,1,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0
PA-605,Erie City & County CoC,Suburban CoCs,336,238,94,0,332,4,231,166,61,0,227,4,105,72,33,105,0,39,26,13,39,0,20,17,0,17,3,12,9,0,9,3,8,8,8,0,29,15,12,0,27,2,14,12,2,0,14,0,0,0,0,0,0,0,14,12,2,0,14,0,12,4,8,12,0,0,0,0,0,0,12,4,8,12,0,16,4,12,16,0
PR-502,Puerto Rico Balance of Commonwealth CoC,Suburban CoCs,"1,643",153,277,12,442,"1,201","1,527",127,216,12,355,"1,172",116,26,61,87,29,37,8,22,30,7,662,54,12,66,596,656,50,12,62,594,6,4,4,2,47,1,4,0,5,42,46,2,7,0,9,37,0,0,0,0,0,0,46,2,7,0,9,37,7,1,4,5,2,0,0,0,0,0,7,1,4,5,2,8,3,4,7,1
